"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","67357","Set product pricing decimals to 3, create order for customer1, verify list price, then reset to 4","chromium","2026-09-18","passed","2026-09-18","Timeline Tests","08_TimelinePageTests.spec.js","",""
"","14364","Navigate to contacts tab using element id, add a contact, and verify it is created","chromium","2026-09-18","passed","2026-09-18","Contact Page Tests","06_ContactPageTests.spec.js","",""
"","9812","Login and add tax rate automationtestrate with rate 2 then click create by id","chromium","2026-09-18","passed","2026-09-18","Tax Rates Page Tests","11_TaxRatesPageTests.spec.js","",""
"","27180","Add Product113 and Create UI Pricelist Inclusive of Tax","chromium","2026-09-18","passed","2026-09-18","Product Import Tests","04_ProductPageTests.spec.js","",""
"","29535","Navigate to Forms, add a form with all field types, verify questions and configurations defaults","chromium","2026-09-18","passed","2026-09-18","Forms Page Tests","07_FormsPageTests.spec.js","",""
"","22136","Navigate to product fields, uncheck can filter for P1-P4, save and verify unchecked","chromium","2026-09-18","passed","2026-09-18","Product Custom Fields Tests","10_ProductCustomFieldsTests.spec.js","",""
"","18355","Navigate to Forms, select New form, rename it in Questions tab, save and verify name changed","chromium","2026-09-18","passed","2026-09-18","Forms Page Tests","07_FormsPageTests.spec.js","",""
"","16298","Import customers from FailingNewCustomerImport.xlsx, verify partial import results page, export successful and problem lines, then cancel import","chromium","2026-09-18","passed","2026-09-18","Imports Page Tests","12_ImportsPageTests.spec.js","",""
"","92918","Enable overall discount and customer default discount, create order with customer1, add products 1/2/7, verify overall-discount is 5, and click Next","chromium","2026-09-18","passed","2026-09-18","Timeline Tests","08_TimelinePageTests.spec.js","",""
"","30849","Open customer1 report card and targets using side menu ids","chromium","2026-09-18","passed","2026-09-18","Customer Page Tests","05_CustomersPageTests.spec.js","",""
"","31826","Import Products and Verify Order Unit","chromium","2026-09-18","passed","2026-09-18","Product Import Tests","04_ProductPageTests.spec.js","",""
"","54452","Disable order requires warehouse, create quote, clear warehouse, add product, and verify Next is clickable","chromium","2026-09-18","passed","2026-09-18","Timeline Tests","08_TimelinePageTests.spec.js","",""
"","13861","Navigate to Forms, deactivate newstandaloneform, filter inactive and verify deactivated form","chromium","2026-09-18","passed","2026-09-18","Forms Page Tests","07_FormsPageTests.spec.js","",""
"","56697","Change base currency to USD, verify on settings and timeline, then reset to ZAR","chromium","2026-09-18","passed","2026-09-18","Timeline Tests","08_TimelinePageTests.spec.js","",""
"","13263","Navigate to customers, switch to map view and find newCustomer1 pin","chromium","2026-09-18","passed","2026-09-18","Customer Page Tests","05_CustomersPageTests.spec.js","",""
"","48823","Enable order requires warehouse, create quote, clear warehouse, and verify Next is disabled","chromium","2026-09-18","passed","2026-09-18","Timeline Tests","08_TimelinePageTests.spec.js","",""
"","23525","Add automationTestRole with all permissions and verify it appears in phillip stg3 user role dropdown","chromium","2026-09-18","passed","2026-09-18","User Roles Tests","15_UserRolesTests.spec.js","",""
"","50104","Enable deals and deal groups, create quote, add product1, and verify deals section visible","chromium","2026-09-18","passed","2026-09-18","Timeline Tests","08_TimelinePageTests.spec.js","",""
"","8648","Successful Login","chromium","2026-09-18","passed","2026-09-18","Login Tests","02_LoginTests.spec.js","",""
"","23919","Create Task","chromium","2026-09-18","passed","2026-09-18","Calendar Tests","03_CalendarTests.spec.js","",""
"","26591","Import Stock Levels and Verify for Product100","chromium","2026-09-18","passed","2026-09-18","Product Import Tests","04_ProductPageTests.spec.js","",""
"","64339","Navigate to Forms, open POC form results, download xlsx and download with images, and verify downloads succeed","chromium","2026-09-18","passed","2026-09-18","Forms Page Tests","07_FormsPageTests.spec.js","",""
